address,garage-places,price,rooms,square-foot,neighborhood,city,latitude,longitude,zones
"Avenida Raja Gabaglia, 1583 ",1.0,330000.0,1.0,40.0,Luxemburgo,Belo Horizonte,-19.9364152,-43.9533964,Centro-Sul
"Rua Espírito Santo, 1171 ",1.0,480000.0,2.0,55.0,Centro,Belo Horizonte,-18.8647762,-41.1217768,Centro-Sul
"Rua dos Expedicionários, 1082 ",5.0,1190000.0,4.0,411.0,Santa Amélia,Belo Horizonte,-20.2252407,-44.3977797,Pampulha
"Rua Marechal Hermes, 81 ",4.0,1590000.0,4.0,158.0,Gutierrez,Belo Horizonte,-19.9371552,-43.9586943,Oeste
"Rua Juruna, 110 ",6.0,550000.0,3.0,278.0,Pindorama,Belo Horizonte,-19.9129822,-44.0199442,Noroeste
"Rua Maria Pereira de Araújo, 15 ",1.0,450000.0,3.0,87.0,Castelo,Belo Horizonte,-19.8861475,-44.0042361,Pampulha
"Rua Espírito Santo, 1580 ",2.0,861748.0,2.0,65.5,Centro,Belo Horizonte,-18.8647762,-41.1217768,Centro-Sul
"Rua Matipó, 455 ",2.0,549900.0,4.0,153.0,Santo Antônio,Belo Horizonte,-19.9473515,-43.9434703,Centro-Sul
"Rua Pitangui, 000 ",2.0,890000.0,3.0,200.0,Sagrada Família,Belo Horizonte,-19.9023386,-43.9420716,Leste
"Avenida dos Bandeirantes, 76 ",3.0,2550000.0,4.0,570.0,Sion,Belo Horizonte,-19.9572301,-43.9319731,Centro-Sul
"Avenida Bias Fortes, 1603 ",1.0,310000.0,2.0,74.0,Lourdes,Belo Horizonte,-19.9320955,-43.9393472,Centro-Sul
"Rua Maestro Delê Andrade, 231 ",1.0,311000.0,3.0,72.0,Santa Efigênia,Belo Horizonte,-19.9242017,-43.9131071,Leste
"Rua Bom Despacho, 356 ",3.0,975000.0,5.0,250.0,Santa Tereza,Belo Horizonte,-19.8738542,-44.0049198,Leste
"Rua Curitiba, 1677 ",2.5,826000.0,2.0,63.5,Lourdes,Belo Horizonte,-19.9122312,-43.9396634,Centro-Sul
